name,address,phone,website,rating,total_ratings,business_status,search_city,search_county
"Holistic Health and Happiness, LLC","24 Main St, Highland, NY 12528, USA",(845) 668-4448,http://www.holistichealthandhappiness.com/,5,4,OPERATIONAL,Highland,Ulster
AiAiA x Alexis Arvidson Acupuncture,"45 Pine Grove Ave Suite 218, Kingston, NY 12401, USA",(845) 706-9638,http://www.alexisarvidsonacupuncture.com/,5,21,OPERATIONAL,Kingston,Ulster
Amber Milanovich Acupuncture,"2821 US-209, Kingston, NY 12401, USA",(718) 938-7907,http://ambermilanovich.com/,5,11,OPERATIONAL,Kingston,Ulster
Andrea Barouch-Hebb Acupuncture,"210 Wall St, Kingston, NY 12401, USA",(845) 309-3633,,5,7,OPERATIONAL,Kingston,Ulster
Andress Acupuncture,"12 John St, Kingston, NY 12401, USA",(845) 674-3778,,5,14,OPERATIONAL,Kingston,Ulster
Ellison Acupuncture,"101 Hurley Ave, Kingston, NY 12401, USA",(845) 750-8700,http://www.ellisonacupuncture.com/,5,1,OPERATIONAL,Kingston,Ulster
Jipala Acupuncture PLLC - Jipala Kagan L.Ac,"291 Wall St, Kingston, NY 12401, USA",(845) 340-8625,http://www.jipalakagan.com/,5,5,OPERATIONAL,Kingston,Ulster
"Kate Rosko, Acupuncture 針灸 in Kingston","275 Fair St Suite 24, Kingston, NY 12401, USA",(917) 539-2306,http://earthlingacupuncture.com/,5,5,OPERATIONAL,Kingston,Ulster
Tischleracupuncture,"338 Plaza Rd, Kingston, NY 12401, USA",(845) 332-5594,,4.3,6,OPERATIONAL,Kingston,Ulster
von Miller Acupuncture,"83 Maiden Ln, Kingston, NY 12401, USA",,https://www.vonmilleracupuncture.com/,5,2,OPERATIONAL,Kingston,Ulster
C & C Wellness,"1300 US-9W, Marlboro, NY 12542, USA",(914) 257-7752,https://cc-wellness.org/,5,57,OPERATIONAL,Marlboro,Ulster
Antai Acupuncture,"945 E Henrietta Rd A6- ANNEX, Rochester, NY 14623, USA",(585) 662-8503,https://www.antaitcm.com/,5,15,OPERATIONAL,Milton,Ulster
Dr Zachary Truncali DC LAc,"1510 US-9W, Milton, NY 12547, USA",(845) 393-4199,http://havenacu.com/,5,3,OPERATIONAL,Milton,Ulster
Mountain Herb Acupuncture,"150 Purchase St, Rye, NY 10580, USA",(203) 962-4531,https://www.mountainherbacupuncture.com/,5,15,OPERATIONAL,Milton,Ulster
ACUPUNCTURE + TRADITIONAL MEDICINE DOKTOR KAT,"564 Main St, Cairo, NY 12413, USA",(845) 366-6931,http://drkat.info/,,,OPERATIONAL,Saugerties,Ulster
Acupuncture Arts NYC,"340 Fish Creek Rd, Saugerties, NY 12477, USA",(917) 557-1199,,,,OPERATIONAL,Saugerties,Ulster
Modern Roots Acupuncture,"134 Burt St, Saugerties, NY 12477, USA",(845) 663-5924,http://modernrootsacu.com/,4.9,34,OPERATIONAL,Saugerties,Ulster
Samantha Yurkosky Acupuncture,"99 Tinker St, Woodstock, NY 12498, USA",(973) 766-2161,http://samanthayurkosky.com/,5,8,OPERATIONAL,Saugerties,Ulster
Saugerties Wellness Center,"854 NY-212, Saugerties, NY 12477, USA",(845) 246-2804,,3.6,27,OPERATIONAL,Saugerties,Ulster
Woodstock Acupuncture Center,"26 Oriole Dr, Woodstock, NY 12498, USA",(845) 679-6570,,5,2,OPERATIONAL,Saugerties,Ulster
Woodstock Healing Arts,"83 Mill Hill Rd, Woodstock, NY 12498, USA",(845) 393-4325,https://www.woodstockhealingarts.com/,4.8,32,OPERATIONAL,Saugerties,Ulster
"Ahimsa Acupuncture, LLC","60 Main St, Irvington, NY 10533, USA",(646) 543-9067,http://www.ahimsaacupuncture.com/,,,OPERATIONAL,Dobbs Ferry,Westchester
Chakra Acupuncture Wellness & Beauty,"280 Dobbs Ferry Rd # 205, White Plains, NY 10607, USA",(914) 786-1413,https://www.chakra-acu.com/,4.9,54,OPERATIONAL,Dobbs Ferry,Westchester
"East Mountain Acupuncture, PLLC - Ron Hershey","132 Grand St, Croton-On-Hudson, NY 10520, USA",(914) 271-3684,https://www.eastmtnacupuncture.com/,5,4,OPERATIONAL,Dobbs Ferry,Westchester
"Eastern Light Acupuncture - White Plains, Westchester, NY","280 Dobbs Ferry Rd # 204, White Plains, NY 10607, USA",(914) 686-2353,http://www.eastmedny.com/,4.9,10,OPERATIONAL,Dobbs Ferry,Westchester
Kwan Acupuncture PLLC,"570 Taxter Rd Ste 640, Elmsford, NY 10523, USA",(914) 222-1560,http://www.kwanacupuncture.com/,5,67,OPERATIONAL,Dobbs Ferry,Westchester
Natural Balance Acupuncture,"580 NY-303 Unit 2, Blauvelt, NY 10913, USA",(845) 613-7185,https://www.naturalbalanceacu.com/,5,19,OPERATIONAL,Dobbs Ferry,Westchester
Precision Acupuncture Clinic,"90 N Broadway, Irvington, NY 10533, USA",(929) 688-2567,https://precisionacupunctureclinic.com/,5,2,OPERATIONAL,Dobbs Ferry,Westchester
Signature Acupuncture Studio PLLC,"75 S Broadway 4th floor, White Plains, NY 10601, USA",(914) 222-5644,https://www.signatureacupuncture.com/,4.9,48,OPERATIONAL,Dobbs Ferry,Westchester
Well Collab Acupuncture Ossining,"127 Main St, Ossining, NY 10562, USA",(914) 418-5679,https://wellcollab.com/,5,6,OPERATIONAL,Dobbs Ferry,Westchester
Wellness and Pain,"1053 Saw Mill River Rd # Ll1, Ardsley, NY 10502, USA",(844) 639-3539,https://www.wellnessandpain.com/,4.9,127,OPERATIONAL,Dobbs Ferry,Westchester
Wellnest Chiropractic and Holistic Center (Dr. Ivana Vargas),"145 Palisade St #412B, Dobbs Ferry, NY 10522, USA",(914) 297-7999,http://www.hudsonchiropracticandwellness.com/,5,53,OPERATIONAL,Dobbs Ferry,Westchester
White Plains Acupuncture PLLC,"280 Mamaroneck Ave # 204, White Plains, NY 10605, USA",(914) 354-0333,http://www.whiteplainsacupuncture.com/,5,20,OPERATIONAL,Dobbs Ferry,Westchester
Alison Murphy Acupuncture,"38 N 5th St, Hudson, NY 12534, USA",,http://www.alisonmurphylac.com/,5,1,OPERATIONAL,Hastings-on-Hudson,Westchester
Eastgate Acupuncture,"454 Warren St #3, Hudson, NY 12534, USA",(518) 828-0205,http://www.eastgateacupuncture.com/,5,31,OPERATIONAL,Hastings-on-Hudson,Westchester
Elliott Acupuncture,"876 Columbia St, Hudson, NY 12534, USA",(518) 828-8588,https://elliottacupuncture.net/,4.7,31,OPERATIONAL,Hastings-on-Hudson,Westchester
Enliven Health and Wellness,"146 Green St, Hudson, NY 12534, USA",(510) 388-6077,https://enlivenyourhealth.com/,5,8,OPERATIONAL,Hastings-on-Hudson,Westchester
Flowing Rivers Acupuncture P.C.,"601 Warburton Ave, Hastings-On-Hudson, NY 10706, USA",(914) 572-1559,https://www.flowingrivers.net/,5,1,OPERATIONAL,Hastings-on-Hudson,Westchester
Hudson River Acupuncture,"380 US-202 suite a, Somers, NY 10589, USA",(845) 233-5445,https://hudsonriveracupuncture.com/,5,6,OPERATIONAL,Hastings-on-Hudson,Westchester
Incao Acupuncture,"453 State St, Hudson, NY 12534, USA",(518) 334-0777,http://www.incaoacupuncture.com/,5,3,OPERATIONAL,Hastings-on-Hudson,Westchester
"SongAm Integrative Acupuncture, P.L.L.C., Michael Song L.Ac","10 Crescent Ln, Dobbs Ferry, NY 10522, USA",(914) 539-0366,,5,13,OPERATIONAL,Hastings-on-Hudson,Westchester
The East Asian Medicine Center,"2679 Co Rte 8, Elizaville, NY 12523, USA",(917) 345-8257,http://www.eastasianmedicinecenter.com/?utm_source=google&utm_medium=local&utm_campaign=gmb,5,26,OPERATIONAL,Hastings-on-Hudson,Westchester
Victoria Allen Acupuncture,"42 B Main St, Hastings-On-Hudson, NY 10706, USA",(347) 256-6400,https://victoriaallenacu.com/,5,4,OPERATIONAL,Hastings-on-Hudson,Westchester
Willow Acupuncture,"6844 NY-32, Greenville, NY 12083, USA",(518) 275-5707,https://willowacu.net/,5,9,OPERATIONAL,Hastings-on-Hudson,Westchester
Women's Holistic Center,"547 Saw Mill River Rd #2a, Ardsley, NY 10502, USA",(914) 559-2777,http://womensholisticcenter.com/,5,7,OPERATIONAL,Hastings-on-Hudson,Westchester
"Anat Raz, M.S., L.Ac. Acupuncture & Chinese Herbal Medicine","25 E Main St, Mt Kisco, NY 10549, USA",(914) 244-0569,http://anatrazacupuncture.com/,5,12,OPERATIONAL,Ossining,Westchester
Blackbird Healing,"109 Upper Croton Ave #205, Ossining, NY 10562, USA",(914) 886-8819,,5,6,OPERATIONAL,Ossining,Westchester
Elena Novikov Acupuncture.,"71 Upper Croton Ave, Ossining, NY 10562, USA",(720) 938-8122,http://www.nccaomdiplomates.com/elenanovikov,4.9,13,OPERATIONAL,Ossining,Westchester
Haase Acupuncture,"23 Spring St, Ossining, NY 10562, USA",(914) 432-5350,,,,OPERATIONAL,Ossining,Westchester
Ossining Acupuncture,"100 S Highland Ave, Ossining, NY 10562, USA",,https://ossiningacupuncture.com/,5,2,OPERATIONAL,Ossining,Westchester
Smith Acupuncture,"15 N Broadway, Nyack, NY 10960, USA",(201) 788-3490,https://www.smithacupuncture.com/,5,10,OPERATIONAL,Ossining,Westchester
"Spreading Roots Acupuncture, PLLC","359 Main St Suite 3B, Mt Kisco, NY 10549, USA",(914) 486-5958,http://www.spreadingrootsacupuncture.com/,4.9,58,OPERATIONAL,Ossining,Westchester
"Beacon Hills Acupuncture, PLLC","13 Joy Pl, Beacon, NY 12508, USA",(718) 974-1461,http://www.beaconhillsacupuncture.com/,4.9,43,OPERATIONAL,Peekskill,Westchester
Creative Healing and Wellness,"501 N James St, Peekskill, NY 10566, USA",(914) 402-4433,http://www.creativehealingandwellness.com/contact.html,,,OPERATIONAL,Peekskill,Westchester
Firebird Acupuncture - Traditional Chinese Medicine,"18 Cross Timbers Rd, Garrison, NY 10524, USA",(917) 453-9845,https://firebirdacupuncture.com/?utm_source=google&utm_medium=GBP,4.2,10,OPERATIONAL,Peekskill,Westchester
"Kathryn Duffy Acupuncture, P.C.","987 Main St 2nd Floor, Peekskill, NY 10566, USA",(718) 414-0627,https://kathrynduffyacupuncture.com/,5,50,OPERATIONAL,Peekskill,Westchester
"Lauren Barrett, Licensed Acupuncturist | Peekskill","1006 Brown St Suite 211, Peekskill, NY 10566, USA",(845) 202-3130,http://lauren-barrett.com/,5,1,OPERATIONAL,Peekskill,Westchester
"Lifted Heart - Dr. Leah Sasha Hawk, D.Ac., L.Ac.","236 Kings Ferry Rd, Verplanck, NY 10596, USA",(917) 609-3202,http://www.liftedheart.com/,4.8,12,OPERATIONAL,Peekskill,Westchester
Blue Jade Wellness: Acupuncture and Massage,"61 Lawton Ave, Hartsdale, NY 10530, USA",(646) 833-8882,http://bluejadewellness.com/,5,18,OPERATIONAL,Sleepy Hollow,Westchester
"GenWell Acupuncture | Dr. Tara G. Almquist, DAIM, L.Ac.","380 US-202, Somers, NY 10589, USA",(646) 483-3086,https://genwellacupuncture.com/,4.9,41,OPERATIONAL,Sleepy Hollow,Westchester
Good Neighbor Acupuncture,"1 Hollow Ln # 300, New Hyde Park, NY 11042, USA",(516) 279-6694,https://goodneighboracu.com/,5,30,OPERATIONAL,Sleepy Hollow,Westchester
"Rivertown Med Spa, Cosmetic Beauty and Wellness Services","358 N Broadway, Sleepy Hollow, NY 10591, USA",(914) 810-4729,http://rivertownmedspa.com/,4.7,13,OPERATIONAL,Sleepy Hollow,Westchester
"The Family Healing Spot LLC: Acupuncture, Herbs, Qi Gong, energy work, and SAUNA!","1010 Park st Suite 2W-3, 2nd floor, Peekskill, NY 10566, USA",(917) 456-6385,http://healingspot.org/,4.9,27,OPERATIONAL,Sleepy Hollow,Westchester
Christina Wallace Acupuncture PLLC,"55 S Broadway 2nd floor, Tarrytown, NY 10591, USA",(914) 246-0148,http://www.cwacupuncture.com/,5,32,OPERATIONAL,Tarrytown,Westchester
HC Acupuncture,"311 North St Suite 302, White Plains, NY 10605, USA",(914) 219-1010,https://hcacupuncture.com/,4.7,13,OPERATIONAL,Tarrytown,Westchester
HC Acupuncture,"77 Tarrytown Rd, White Plains, NY 10607, USA",(914) 949-1028,http://www.hcacupuncture.com/,4.1,8,OPERATIONAL,Tarrytown,Westchester
"Jennifer Liang, L.Ac., DAOM","14 Jason Pl Suite 201, Middletown, NY 10940, USA",(845) 414-6295,https://www.jenniferacupuncture.com/,5,6,OPERATIONAL,Tarrytown,Westchester
KANA Physical Therapy & Wellness,"47 Main St Rear, Tarrytown, NY 10591, USA",(914) 916-2298,http://www.kana-pt.com/,5,16,OPERATIONAL,Tarrytown,Westchester
Kingsfoil Acupuncture,"75 Main St suite 1r, Goshen, NY 10924, USA",(845) 682-0809,https://www.jenniferacupuncture.com/,5,10,OPERATIONAL,Tarrytown,Westchester
"Kwanghee Lyew, Ph.D., RN, L.Ac. C.H.","245 N Broadway #206, Sleepy Hollow, NY 10591, USA",(912) 522-0536,,,,OPERATIONAL,Tarrytown,Westchester
Lyew Acupuncture,"245 N Broadway, Tarrytown, NY 10591, USA",(912) 522-0536,,,,OPERATIONAL,Tarrytown,Westchester
Ren-Shen Healing,"65 S Broadway, Tarrytown, NY 10591, USA",(914) 418-5440,http://www.renshenhealing.com/,5,29,OPERATIONAL,Tarrytown,Westchester
Riverstone Wellness Center,"2 Hudson St, Tarrytown, NY 10591, USA",(914) 332-9642,http://www.riverstoneyoga.com/,5,21,OPERATIONAL,Tarrytown,Westchester
Serenity Acupuncture and Wellness,"172 N Highland Ave suite 1, Ossining, NY 10562, USA",(914) 299-7787,http://www.pazacu-westchester.com/,5,27,OPERATIONAL,Tarrytown,Westchester
Thrive Acupuncture & Wellness,"1 S Greeley Ave #202, Chappaqua, NY 10514, USA",(914) 268-6458,http://www.thriveacupunctureny.com/,5,19,OPERATIONAL,Tarrytown,Westchester
Two Rivers Acupuncture,"265 N Highland Ave # 105, Nyack, NY 10960, USA",(845) 418-0809,http://www.tworiversacupuncture.com/,5,205,OPERATIONAL,Tarrytown,Westchester
"Wei Acupuncture, PLLC","40 Triangle Center Suite 217, Yorktown Heights, NY 10598, USA",(914) 352-5005,,5,27,OPERATIONAL,Tarrytown,Westchester
Well Collab Acupuncture,"245 N Broadway Suite 207, Sleepy Hollow, NY 10591, USA",(914) 418-5679,http://wellcollab.com/,5,8,OPERATIONAL,Tarrytown,Westchester
sleepy hollow acupuncture,"239 Broadway, Sleepy Hollow, NY 10591, USA",(914) 819-0970,,,,OPERATIONAL,Tarrytown,Westchester
Acupuncture New Rochelle,"421 Huguenot St Suite 31, New Rochelle, NY 10801, USA",(914) 338-8002,https://www.acupuncturenewrochelle.com/,5,43,OPERATIONAL,Yonkers,Westchester
Bronx Acupuncture,"3800 Putnam Ave W, Bronx, NY 10463, USA",(718) 406-2315,https://sites.google.com/view/bronxacupuncture?usp=sharing,5,54,OPERATIONAL,Yonkers,Westchester
Bronxville Acupuncture,"141 Parkway Rd Suite 27, Bronxville, NY 10708, USA",(914) 222-9299,https://bronxvilleacupuncture.com/,5,52,OPERATIONAL,Yonkers,Westchester
Bronxville Wellness Sanctuary,"14 Studio Arcade, Bronxville, NY 10708, USA",(914) 337-9356,https://www.bronxvillewellness.com/,4.9,367,OPERATIONAL,Yonkers,Westchester
Complete Human Acupuncture PLLC,"29 Williamsburg Close, Scarsdale, NY 10583, USA",(914) 745-9800,https://www.completehumanacu.com/,5,3,OPERATIONAL,Yonkers,Westchester
Eastern Wellness Acupuncture,"83 Montgomery Ave, Scarsdale, NY 10583, USA",(914) 472-6688,http://www.easternwellnessacupuncture.com/,5,6,OPERATIONAL,Yonkers,Westchester
"Eastway Acupuncture: Easter Yi Acupuncture, PLLC","495 Central Park Ave Suite 205, Scarsdale, NY 10583, USA",(914) 573-1069,http://www.eastwayacupuncture.com/,5,44,OPERATIONAL,Yonkers,Westchester
"Elemental Acupuncture: Bethany Leddy, DACM, MSOM","273 Columbus Ave Suite 6A, Tuckahoe, NY 10707, USA",(646) 872-1181,https://www.bethanyleddy.com/?utm_source=gmb_auth,5,10,OPERATIONAL,Yonkers,Westchester
Gee Acupuncture & Herbs PC,"693 Locust St, Mt Vernon, NY 10552, USA",(914) 663-8188,http://gee-pc.lany.io/,4.8,57,OPERATIONAL,Yonkers,Westchester
"Integrative Med Solutions, Dr. Fred Lisanti","266 White Plains Rd suite b, Eastchester, NY 10709, USA",(914) 337-2980,https://www.intmedsolutions.com/,5,11,OPERATIONAL,Yonkers,Westchester
Laura Hoffman Acupuncture,"42B Main St, Dobbs Ferry, NY 10522, USA",(917) 859-8761,http://laurahoffmanacu.com/,4.9,13,OPERATIONAL,Yonkers,Westchester
Life Spring Acupuncture Clinic,"2054 Central Park Ave, Yonkers, NY 10710, USA",(201) 290-2072,https://facebook.com/LifeSpringAcu,5,237,OPERATIONAL,Yonkers,Westchester
NY Acupuncture Wellness,"280 N Central Ave #310, Hartsdale, NY 10530, USA",(914) 615-9266,http://www.nyacuwellness.com/,5,30,OPERATIONAL,Yonkers,Westchester
New York Acupuncture,"586 Warburton Ave, Hastings-On-Hudson, NY 10706, USA",(914) 478-1160,http://www.nyacupuncture-healthcare.com/westchester-office,5,3,OPERATIONAL,Yonkers,Westchester
Nicole Miziolek - Qi Acupuncture & Apothecary,"596 Warburton Ave, Hastings-On-Hudson, NY 10706, USA",(646) 705-4270,http://nicolemiziolek.com/,5,3,OPERATIONAL,Yonkers,Westchester
Northern Traditional Chinese Medicine,"14 Jason Pl Suite 222, Middletown, NY 10940, USA",(845) 800-9183,https://www.nmc-cares.com/,5,11,OPERATIONAL,Yonkers,Westchester
Riverdale Holistic Center - Riverdale,"5676 Riverdale Ave Suite 103, Riverdale, NY 10471, USA",(718) 954-3031,http://riverdaleholisticcenter.com/,4.9,38,OPERATIONAL,Yonkers,Westchester
Scarsdale Acupuncture,"531 Central Park Ave #304, Scarsdale, NY 10583, USA",(914) 472-2600,http://www.scarsdaleacupuncture.com/,5,18,OPERATIONAL,Yonkers,Westchester
Scarsdale Health & Wellness,"778 White Plains Rd, Scarsdale, NY 10583, USA",(914) 723-5105,https://www.scarsdalehealth.com/,4.9,59,OPERATIONAL,Yonkers,Westchester
Tai Ji New York Acupuncture,"5908A Riverdale Ave, Bronx, NY 10471, USA",(646) 533-2308,https://taijiacupunctureny.com/,5,22,OPERATIONAL,Yonkers,Westchester
Vitalist Healing Traditions - Dr. Carina Lopez - Your 'Holistic Doctor Near Me' - Naturopathic Doctor NYC,"541 Van Cortlandt Park Ave, Yonkers, NY 10705, USA",(917) 701-8549,https://www.vitalisthealingtraditions.com/,5,18,OPERATIONAL,Yonkers,Westchester
"Westchester Acupuncture, PLLC","111 N Central Ave, Hartsdale, NY 10530, USA",(917) 273-8912,http://westchesteracupuncture.us/,5,19,OPERATIONAL,Yonkers,Westchester
Yonkers Acupuncture,"1550 Central Park Ave Suite B, Yonkers, NY 10710, USA",(914) 202-9268,https://sinoamericanacupuncture.com/,5,8,OPERATIONAL,Yonkers,Westchester
Za Oh Pyung eastern medicinePC,"271 Columbus Ave, Tuckahoe, NY 10707, USA",,,5,3,OPERATIONAL,Yonkers,Westchester
